,nr,adres,typ,niep,granice
380,381,"Szkoła Podstawowa Nr 129 os. Na Wzgórzach 13a, Kraków",Powszechny,Nie,Osiedle Na Wzgórzach od 14 do 27
381,382,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 6 os. Na Stoku 52, Kraków",Powszechny,Tak,"Darwina 4, Kocmyrzowska 8, Łowińskiego 3, 4, 5, Osiedle Na Stoku od 1 do 9 i od 35 do 52"
382,383,"Gimnazjum Nr 44, Os. Na Stoku 34 Kraków",Powszechny,Nie,"Osiedle Na Stoku od 10 do 27 (bez 23 a, 24 a)"
383,384,"Gimnazjum Nr 44,  Os. Na Stoku 34 Kraków",Powszechny,Nie,"Architektów, Bacewiczówny, Bolesława Krzywoustego, Bolesława Wstydliwego, Czerwonego Kapturka, Groickiego, Henryka Brodatego, Jana Kazimierza, Jana Olbrachta, Janczarskiego, Jasia i Małgosi, Jaskra, Kazimierza Jagiellończyka, Kazimierza Sprawiedliwego, Kisielewskiego, Klemensa z Ruszczy, Kownackiej, Leszka Białego, Leszka Czarnego, Mortkowicz-Olczakowej, Petőfiego, Piotrusia Pana, Płomyczka, Porazińskiej, Przemysława II, Przybosia, Rycerska, Samozwaniec, Stanisława Augusta Poniatowskiego, Wierzynka, Władysława IV, Władysława Jagiełły"
384,385,"Gimnazjum Nr 44 os. Na Stoku 34, Kraków",Powszechny,Nie,"Osiedle Na Stoku 23 a, 24 a, 27 a, od 28 do 34 a"
385,386,"Ośrodek Kultury Kraków Nowa Huta Klub Osiedlowy ""Dukat"" ul. Styczna 1 /Grębałów/ Kraków",Powszechny,Tak,"Birkuta, Bożywoja, Bukszpanowa, Cieślińskiej-Brzeskiej, Cyprysów, Darwina nieparzyste od 1 do 47F, Florkowskiego, Folwarczna, Freege'go, Gerlaha, Geodetów, Głębinowa, Grębałowska, Jubileuszowa, Kamberskiego, Kantorowicka nieparzyste od 1 do 105 i parzyste od 4 do 54H, Kirchmajera, Księdza Kaczyńskiego, Kocmyrzowska parzyste od 10 i nieparzyste od 21, Korohody, Luborzycka, Łącka, Niebyła, Obwodowa, Płaska, Pomykany, Pruska, Przymiarki, Stefczyka, Stokowa, Studzienna, Styczna, Sybiraków, Twaroga"
386,387,"Gimnazjum Nr 43 ul. Łuczanowicka 2a, Kraków",Powszechny,Tak,"Blokowa, Burzowa, Darwina parzyste od 6 i nieparzyste od 49, Grzegorza z Sanoka, Komasy, Lubocka, Łazowa, Łowińskiego 7, 11, 13, 15, Łuczanowicka 2, 7, 9, 11, 13, 19, Marglowa, Mrozowa, Niewielka, Rowida, Wielkich Pieców"
387,388,Szkoła Podstawowa Nr 78 ul. Jaskrowa 5 Kraków,Powszechny,Tak,"Betlejemska, Braci Polskich, Bruśnicka, Bystronia, Glinik, Godebskiego, Irzykowskiego, Jasełkowa, Jaskrowa, Kalwińska, Kulinowskiej, Kolędnicza, Kosów, Księdza Figlewicza, Lasowisko, Łuczanowicka (bez 2, 7, 9, 11, 13, 19), Morstina, Mycielskiego, Organki, Orłowskiego, Pankiewicza, Pasterska, Sajakówka, Skoczylasa, Soczyny, Spławy (bez 2), Sulisława, Trzech Króli, Uziembły, Wadowska, Węgrzynowicka, Wittiga, Wodocza, Za Ogrodem, Zagościniec, Zawielgusie, Żonkilowa"
388,389,"WIENERBERGER ZESŁAWICE ul. Gustawa Morcinka 5, Kraków",Powszechny,Nie,"Jeziorany, Kantorowicka parzyste od 58 do 98 i nieparzyste od 111 do 207, Morcinka, Nad Baranówką, Stary Gościniec, Wielkie POla, Zakładowa, Zesławicka, Zakole"
389,390,Zespół Szkół Ogólnokształcących Nr 52 ul. Sawy-Calińskiego 12 Kraków,Powszechny,Nie,"Barwna, Dybowskiego, Hektary, Igołomska od 83 do 105, Kościelnicka, Kuśnierska, Łozińskiego, Ostrówka, Ostafina, Płoszczyny, Pod Gajem, Podbiałowa, Pysocice, Sawy-Calińskiego, Stopki, Waligórskiego, Wiewiórcza, Wodzickich, Wróżenicka"
390,391,"Ośrodek Kultury Kraków Nowa Huta Klub ""Jędruś"" os. Centrum A bl. 6a, Kraków",Powszechny,Nie,Osiedle Centrum A od 1 do 14
391,392,"Gimnazjum Nr 45 ,  Os. Willowe 1 Kraków",Powszechny,Nie,Osiedle Hutnicze
392,393,"Gimnazjum Nr 45, os. Willowe 1, Kraków",Powszechny,Nie,Osiedle Wandy
393,394,"Ośrodek Kultury Kraków Nowa Huta Klub ""Wersalik"" os. Ogrodowe 15 Kraków",Powszechny,Tak,Osiedle Ogrodowe
394,395,"Przedszkole Samorządowe Nr 46, os. Na Skarpie 46 Kraków",Powszechny,Nie,"Cerchów, Osiedle Młodości od 1 do 15/bez 9, 10, 11/, Osiedle Na Skarpie od 21 do 46, Sieroszewskiego 1, 1a, 3"
395,396,"Szkoła Podstawowa Nr 80, Os. Na Skarpie 8 Kraków",Powszechny,Nie,"Biskupa Padniewskiego, Biskupa Tomickiego 3, 5, 7, Osiedle Centrum E od 1 do 25"
396,397,Szkoła Podstawowa Nr 80  Os. Na Skarpie 8 Kraków,Powszechny,Nie,"Osiedle Na Skarpie od 1 do 20, od 47 do 64, Osiedle Młodości 9, 10, 11"
397,398,"Szkoła Pdstawowa Nr 37, os. Stalowe 18 Kraków",Powszechny,Nie,"Osiedle Willowe od 1 do 37, PLac Przy Poczcie"
398,399,"Szkoła Podstawowa Nr 37, os. Stalowe 18 Kraków",Powszechny,Nie,Osiedle Stalowe od 1 do 18
399,400,"Rada i Zarząd Dzielnicy XVIII, os. Centrum B, bl. 6 Kraków",Powszechny,Tak,Osiedle Centrum B od 1 do 11
400,401,"Szkoła Podstawowa Nr 88, os. Szklane Domy 2 Kraków",Powszechny,Tak,Osiedle Szklane Domy
401,402,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 5, os. Słoneczne 12 Kraków",Powszechny,Tak,Osiedle Słoneczne
402,403,"Filia Młodzieżowego Domu Kultury im. J.Korczaka, os. Szkolne 5 Kraków",Powszechny,Nie,"Osiedle Szkolne od 1 do 5, od 28a do 37"
403,404,"Zespół Szkół Elektrycznych Nr 2, Os. Szkolne 26 Kraków",Powszechny,Nie,Osiedle Szkolne od 6 do 27
404,405,"Zespół Szkół Budowlanych Nr 2, os. Szkolne 18 Kraków",Powszechny,Nie,Osiedle Zielone od 1 do 28
405,406,"Zespół Szkół Odzieżowych i Ekonomicznych, ul. Bulwarowa 33, Kraków",Powszechny,Nie,"Bulwarowa 2, os. Sportowe /bez Nr 9/"
406,407,Miejski Ośrodek Wspierania Inicjatyw Społecznych os. Centrum C bl. 10 Kraków,Powszechny,Tak,Osiedle Centrum C
407,408,"Ośrodek Kultury Kraków Nowa Huta os. Zgody 1,Kraków",Powszechny,Nie,"Osiedle Zgody, Seiferta"
408,409,"Zespół Szkół Ogólnokształcących Sportowych Nr 2 os. Teatralne 35, Kraków",Powszechny,Nie,Osiedle Urocze
409,410,"Ośrodek Kultury im.C.K.Norwida, os. Górali 5 Kraków",Powszechny,Tak,Osiedle Górali
410,411,"Szkoła Podstawowa im. Św. Wincentego Pallotiego,  Os. Krakowiaków 47 Kraków",Powszechny,Nie,Osiedle Krakowiaków od 1 do 17
411,412,"Szkoła Podstawowa im. Św. Wincentego Pallotiego os. Krakowiaków 47, Kraków",Powszechny,Nie,Osiedle Krakowiaków od 18 do 47
412,413,"Zespół Szkół Ogólnokształcących  Nr 2, Os. Teatralne 33 Kraków",Powszechny,Nie,"Osiedle Teatralne od 1 do 7, od 25 do 33"
413,414,"Zespół Szkół Ogólnokształcących Sportowych Nr 2, Os. Teatralne 35, Kraków",Powszechny,Nie,"Osiedle Teatralne od 8 do 24, od 34 do 35, Ludźmierska"
414,415,"Zespół Szkół Ogólnokształcących Sportowych Nr 1, Os. Handlowe 4 Kraków",Powszechny,Nie,Osiedle Centrum D
415,416,"Zespół Szkół Ogólnokształcących Sportowych Nr 1, os. Handlowe 4, Kraków",Powszechny,Nie,Osiedle Handlowe
416,417,"Gimnazjum Nr 48,  Os. Kolorowe 29 Kraków",Powszechny,Nie,"Osiedle Kolorowe od 1 do 15, 17A"
417,418,"Gimnazjum Nr 48, os. Kolorowe 29, Kraków",Powszechny,Nie,Osiedle Kolorowe od 16 do 47/bez 17A/
418,419,"Zespół Szkół Ekonomicznych Nr 2, os. Spółdzielcze 6 Kraków",Powszechny,Nie,Osiedle Spółdzielcze
419,420,"Zespół Szkół Specjalnych Nr 6, ul. Ptaszyckiego 9 Kraków",Powszechny,Tak,"Bardosa, Graniczna, Grąby, Hutnika, Jagienki, Jeżynowa, Jutrzyńska, Kępska, Klasztorna, Kmicica, Kopaniec, Kublińskiego, Longinusa Podbipięty, /bez 1, 19, 19a, 21, 21a, 39a, 62, 64, 74, 78c, d, e, 80b, 82b, 86/, Na Niwach, Odmętowa /bez Nr 14, 14b, 16, 96, 98, 107/, Opata Salwińskiego, Podbagnie, Powiatowa, Ptaszyckiego, Samostrzelnika, Stare Wiślisko, Syrachowska, Ujastek Mogilski, Wańkowicza 8, 14, 14a, 16, 20, 22, Wiśniowieckiego, Wojenna, Wołodyjowskiego, Zagłoby, Zakarnie, Zbyszka  z Bogdańca, Ziarkowa bez Nr 4, 8, Żaglowa"
420,421,"Szkoła Podstawowa Nr 74, ul. Branicka 26,  Kraków",Powszechny,Nie,"Branicka, Chałupki, Deszczowa, Generała Karaszewicza-Tokarzewskiego /bez 39, 41, 43, 43a, 45, 46, 48, 50, 52, 54/, Kąkolowa, Kłosowa, Łubinowa, Plastusia, Powojowa, Rumiankowa, Sasanek, Szymańskiego, Tatarakowa, Truskawkowa, Wrzosowa, Zaporębie, Żółwia"
421,422,"Szkoła Podstawowa Nr 140, ul. Prawocheńskiego 7 /os. Wyciąże/ Kraków",Powszechny,Nie,"Barwinkowa, Ciekowiec, Czeczeńska 7, 9, 11, 13, 15, 15a, 27, Generała Karaszewicza-Tokarzewskiego 39, 41, 43, 43a, 45, 46, 48, 50, 52, 54, Igołomska od 35 do 82B, Jeziorko, Podstawie, Prawocheńskiego, Pysońce, Rusiecka, Rzepakowa, Sitowiny, Tarasowa, Trzcinowa, Tymiankowa, Ubeliny, Narcyza Wiatra, Wiatraczna, Wyciąska, Za Górą, Ziemska"
422,423,"Szkoła Podstawowa Nr 142, ul. Drożyska 13 /os. Wolica/ Kraków",Powszechny,Nie,"Bartnicza, Betonowa, Biwakowa, Brzeska, Drożyska, Flame, Jaglana, Kontryma, Księdza Luzara, Morgi, Nadwodna, Plac Turzymy, Plażowa, Pluty-Czachowskiego, Przylasek, Siejówka, Szlifierska, Wiązowa, Zakępie"
423,424,"Towarzystwo Przyjaciół Ziemi Pleszowskiej świetlica Osiedlowa, ul. Nadbrzezie 18 Kraków",Powszechny,Tak,"Cementowa, Dymarek. Gwarecka, Igołomska od 1 do 34, Jezierskiego, Karowa, Martenowska, Młotków, Nadbrzezie, Nenckiego, Ostrów, Popielnik, Rudni, Suchy Jar, Świętego Wincentego, Ziemianek"
424,425,"ul. Skawińska 8, Kraków",Szpital,Nie,Szpital Uniwersytecji w Krakowie Oddział Kliniczny Kliniki Alergii i Immunologii oraz Pulmonologii 
425,426,"ul. Trynitarska 11, Kraków",Szpital,Nie,Szpital Zakonu Bonifratów Św. Jana Grandego 
426,427,"ul. Garncarska 11, Kraków",Szpital,Nie,Centrum Onkologii Instytut im. M. Skłodowskiej - Curie Oddział w Krakowie 
427,428,"ul. Skarbowa 1, Kraków",Szpital,Nie,Szpital Specjalistyczny im. J. Dietla  
428,429,"ul. Siemiradzkiego 1, Kraków",Szpital,Nie,"Niepubliczny Zakład Opieki Zdrowotnej, Szpital Na Siemiradzkiego im. R. Czerwiakowskiego"
429,430,"ul. Krakowska 55, Kraków",Zakład pomocy społecznej,Nie,"Dom Pomocy Społecznej ul. Krakowska 43, 45, 47, 53, 55"
430,431,"ul. Helclów 2 , Kraków",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej im Ludwika i Anny Helclów
431,432,"ul. Montelupich 7, Kraków",Areszt śledczy,Nie,Areszt Śledczy
432,433,"ul. Kopernika 36, Kraków",Szpital,Nie,Szpital Uniwersytecki (kliniki po parzystej i nieparzystej stronie ul. Kopernika)
433,434,"ul. Kołłątaja 7, Kraków",Zakład pomocy społecznej,Nie,Zakład Opiekuńczo - Leczniczy Zgromadzenia Sióstr Felicjanek
434,435,"ul. Prądnicka 80, Kraków",Szpital,Nie,Krakowski Szpital Specjalistyczny im. Jana Pawła II
435,436,"ul. Prądnicka 35-37, Kraków",Szpital,Nie,Szpital Miejski Specjalistyczny im. G. Narutowicza
436,437,"ul. Kluzeka 6, Kraków",Zakład pomocy społecznej,Nie,"Dom Pomocy Społecznej ""Seniora Naftowca"""
437,438,"ul. Siemaszki 17, Kraków",Zakład pomocy społecznej,Nie,NZOZ BONA-MED. Sp. zo.o. Zakład Opiekuńczo-Leczniczy 
438,439,"ul. Galla 25, Kraków",Szpital,Nie,Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji 
439,440,"ul. Wrocławska 1-3, Kraków",Szpital,Nie,5 Wojskowy Szpital Kliniczny Z Polikliniką
440,441,"al. Modrzewiowa 22, Kraków",Szpital,Nie,Krakowskie Centrum Rehabilitacji
441,442,"ul. Doktora Babińskiego 25, Kraków",Zakład pomocy społecznej,Nie,Dom Pomocy Spolecznej ul. Doktora Babińskiego 25
442,443,"ul. Doktora Babińskiego 29, Kraków",Szpital,Nie,"Szpital Specjalistyczny im. J. Babińskiego ul. Doktora Babińskiego 29, Krkaów"
443,444,"ul. Praska 25, Kraków",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej ul. Praska 25
444,445,"ul. Nowaczyńskiego 1, Kraków",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej im. św. Brata Alberta
445,446,"ul. Podgórki Tynieckie 96, Kraków",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej Sióstr Służebniczek Starowiejskich
446,447,"ul. Kąpielowa 70, Kraków",Szpital,Nie,Uzdrowisko Kraków Swoszowice SP. zo.o
447,448,"ul. Bochenka 12, Kraków",Szpital,Nie,Szpital Św. Rafała ZOZ Scanmed Universum
448,449,"ul. Wielicka 267, Kraków",Zakład pomocy społecznej,Nie,Zakład Opiekuńczo-Leczniczy
449,450,"ul. Czarnieckiego 3, Kraków",Areszt śledczy,Nie,Areszt Śledczy
450,451,"ul. Łanowa 39, Kraków",Zakład pomocy społecznej,Nie,"Dom Pomocy Społecznej ul. Łanowa 39, 43"
451,452,"ul. Łanowa 41, Kraków",Zakład pomocy społecznej,Nie,"Dom Pomocy Społecznej (Budynki ul. Łanowa 41, 41A, 41B, 43D, 43E)"
452,453,ul. Sołtysowska 13D Kraków,Zakład pomocy społecznej,Nie,"Dom Pomocy Społecznej ""Pod Dębami"""
453,454,ul. Spławy 2 Kraków,Zakład karny,Nie,Zakład Karny Kraków -Nowa Huta
454,455,os. Złotej Jesieni 1 Kraków,Szpital,Nie,Wojewódzki Szpital Specjalistyczny im. L. Rydygiera
455,456,os. Na Skarpie 66 Kraków,Szpital,Nie,Szpital Specjalistyczny im. S. Żeromskiego 
456,457,os. Sportowe 9 Kraków,Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
457,458,os. Szkolne 28 Kraków,Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
458,459,ul. Ujastek 3 Kraków,Szpital,Nie,"Zakład Opieki Zdrowotnej "" Centrum Medyczne-Nowa Huta SP.Z.O.O"
