,nr,adres,typ,niep,granice
211,212,"Szkoła Podstawowa Nr 135, ul. Mirtowa 2, Kraków",Powszechny,Nie,"Bogdanowskiego, Chałubińskiego nieparzyste od 85 i parzyste od 104, Czuchnowskiego, Doroszewskiego, Drużka, Familijna, Gilowa, Herbowa, Iwaszkiewicza, Kenara parzyste od 20 nieparzyste od 37, Koźmiana, Księdza Kajzera, Landaua parzyste, Łysogórska, Matematyków Krakowskich parzyste od 2 do 24, Mirtowa, Myślenicka nieparzyste od 189 i parzyste od 164, Niewodniczańskiego od 1 do 39, Parafialna, Profesora Bochnaka, Syreńskiego, Wróblowicka parzyste od 8 i nieparzyste od 11"
212,213,"Klub Osiedlowy, ul. Niewodniczańskiego 74, Kraków",Powszechny,Tak,"Aleksandrowicza, Chrzanowskiego, Gościnna, Grzepskiego, Krzyżańskiego, Niewodniczańskiego od 40, Nowickiego"
213,214,"Szkoła Podstawowa Nr 43, ul. Myślenicka 112, Kraków",Powszechny,Nie,"Babiego Lata (bez 24), Borowinowa (bez 77), Chałubińskiego nieparzyste od 1 do 83 i parzyste od 2 do 102, Czyrniańskiego, Druskiennicka, Kąpielowa nieparzyste od 11 i parzyste od 12 ( bez 70), Krzyżanowskiego, Lasogórska, Lusińska, Łobodowskiego, Moszyńskiego, Muszyńskiego, Neussera, Piłkarska, Pytlasińskiego, Rabczańska, Sanatoryjna, Starowiejska od 12, Wczasowa, Wypoczynkowa"
214,215,"Szkoła Podstawowa Nr 43, ul. Myślenicka 112, Kraków",Powszechny,Nie,"Gorczyna, Hypty, Iwonicka, Jar, Jelskiego, Jeździecka, Korczyńskiego, Kotowskiego, Lecznicza, Merkuriusza Polskiego, Miarowa nieparzyste od 1 do 35 i parzyste od 2 do 16, 16a, Michalika, Moczydło, Morozewicza, Myślenicka nieparzyste od 79 do 187 i parzyste od 62 do 162, Nałęczowska, Niedźwiedziny, Opalińskiego, Perłowa, Pinocci, Podgórki, Podhalnie, Przyrodnicza, Rymanowska, Sawiczewskich, Siarczanogórska, Siarczki, Soboniowicka, Srzednickiego, Stawisko, Stepowa , Szybisko, Topiarnia, Truskawiecka, Uzdrowiskowa, Warszewicza, Wierchowa, Wróblowicka parzyste od 2 do 6 i nieparzyste od 1 do 9, Wyrwa, Wyżynna, Zaruskiego, Zdrojowa"
215,216,"Filia Szkoły Podstawowej Nr 97, ul. Armii Kraków 76, Kraków",Powszechny,Tak,"Armii Kraków, Białostocka, Bieszczadzka, Ciechocińska, Ciepła, Ciołkosza, Goździkowa, Horaka, Hubalczyków, Jasielska, Jugowicka nieparzyste, Kaliska, Kąpielowa nieparzyste od 1 do 9 i parzyste od 2 do 10, Kierzkowskiego, Kokosowa, Kolejarzy, Krośnieńska, Kustronia, Nowodworskiego, Owocowa, Siarczana, Szumca, Szyllinga, Tulipanowa, Zakopiańska parzyste od 88 do 194"
216,217,"Szkoła Podstawowa Nr 97, ul. Dr Judyma 10, Kraków",Powszechny,Nie,"Borkowska, Czołgistów, Kadłubka, Kluka, Nenko, Wichrowa, Żaków Krakowskich"
217,218,"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, Kraków",Powszechny,Nie,"Bastionowa, Bluszczowa, Czajkowskiego, Dębickiego, Fałęcka, Janowskiego, Księżycowa, Marusarzówny, Narvik, Pustynna, Siostry Zimmer, Skrzetuskiego, Szmaragdowa, Zawiła parzyste od 2 do 40"
218,219,"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, Kraków",Powszechny,Nie,"Amarantowa, Banachiewicza, Bellerta, Boratyńskiego, Chęcińska, Chojnicka, Ciechanowska, Czerska, Doktora Judyma, Eibischa, Forteczna, Gadomskiego, Gałęzowskiego, Gumowskiego, Homolacsa, Kępińskiego, Kopernickiego, Korpala od 21, Kostrzewskiego, Krzyżtoporska, Księdza Dercza, Księdza Mączyńskiego, Kwiatowa, Łódzka, Maklakiewicza, Mieczykowa,  Miodońskiego, Profesora Bartla 19, 19 a, b, c, d, e, Pronaszków, Rabsztyńska, Radnickiego, Rdzawa, Rutkowskiego, Tochowicza, Umińskiej, Wachholza, Warowna, Welońskiego, Zagaje, Zakopiańska nieparzyste od 147 do 181 a, b, c, e, Zawiszy"
219,220,"Szkoła Podstawowa Nr 134, ul. Kłuszyńska 46, Kraków",Powszechny,Tak,"Chorzowska, Dębskiego, Dzikiej Róży, Inicjatywy Lokalnej, Księdza Maja, Kłuszyńska, Libertowska nieparzyste od 1 i parzyste od 2 do 6, 16, Miejscowa, Opatkowicka, Petrażyckiego parzyste od 2 do 60 a i nieparzyste od 1 do 39 g, Poronińska, Smoleńskiego, Solówki parzyste, Starowiejska od 1 do 11, Taklińskiego, Torowa, Ważewskiego, Zakarczmie, Zakopiańska parzyste od 196 i nieparzyste od 183, Zembrzycka"
220,221,"Szkoła Podstawowa Nr 27, ul. Podedworze 16, Kraków",Powszechny,Nie,"Łużycka nieparzyste od 43 do 53 i 71, 71abc, 73, 73 a, 73 c, Podedworze parzyste od 2 do 4"
221,222,"Szkoła Podstawowa Nr 27, ul. Podedworze 16, Kraków",Powszechny,Nie,"Bochenka (bez 12), Podedworze 6, 6 a, 8, 10, 10 b, 12"
222,223,"Szkoła Podstawowa Nr 27, ul. Podedworze 16, Kraków",Powszechny,Nie,"Łużycka 55, 57, 63, 65, 67, 67a, 69"
223,224,"XXIX Liceum Ogólnokształcące, ul. Cechowa 57, Kraków",Powszechny,Tak,"Kordiana, Tuchowska parzyste od 2 do 34 i nieparzyste od 1 do 27"
224,225,"XXIX Liceum Ogólnokształcące, ul. Cechowa 57, Kraków",Powszechny,Tak,"Błogosławionej Franciszki Siedliskiej, Cechowa nieparzyste od 57 i parzyste od 72, Gwarna, Kanarkowa, Kijanki, , Łużycka parzyste od 42 i nieparzyste od 75, Nazaretańska, Pochyła, Podedworze parzyste od 14, Rodziny Jędów, Tuchowska parzyste od 36 do 48 i nieparzyste od 29 do 39, Ukośna, Urwana, Widnokrąg, Zimna"
225,226,"XXIX Liceum Ogólnokształcące, ul. Cechowa 57, Kraków",Powszechny,Tak,"Babiego Lata 24, Cechowa nieparzyste od 1 do 55 i parzyste od 2 do 70, Łężce,  Myślenicka parzyste od 42 do 60 i nieparzyste od 47 do 77, Stojałowskiego nieparzyste od 33 do 41a,  Szarych Szeregów"
226,227,"Przedszkole Samorządowe Nr 33, ul. Rżącka 1, Kraków",Powszechny,Nie,"Badurskiego 1, 9, Bednarska, Biernata z Lublina, Błotna, Ciasna, Czajna, Hallera parzyste od 2 do 14 i nieparzyste od 1 do 7, Kalinowa, Kliniec, Kosocicka parzyste od 72, 79, 85, 85a, 85b, 85c, i nieparzyste od 87 do 105, Księdza Dźwigońskiego, Krystyna z Ostrowa, Łamana, Mokra, Niebieska nieparzyste od 1 do 9 i parzyste od 2 do 10, Obronna od 9, Podedworze nieparzyste, Podlesie, Powały z Taczewa, Przewiewna, Podwórkowa, Przy Kuźni, Rżącka, Sadka, Słona Woda nieparzyste, Snozy, Sporna, Szpakowa, Tyranowskiego 5, 9, 11,  Zyndrama z Maszkowic"
