,granice,nr,lat,lon
48,"aleja powstania warszawskiego nieparzyste, blich, bujwida, genera³a dwernickiego, genera³a so³tyka, grzegórzecka parzyste od 4 do 40, hetmana ¿ó³kiewskiego, ko³³¹taja (bez 7), œniadeckich (bez 10), œwiêtego ³azarza",49,50.0616443,19.9600567
49,"aleja daszyñskiego parzyste od 12 do 32, chodkiewicza, grzegórzecka nieparzyste od 7 do 51, masarska 3,6,6a,7,8, pola, prochowa, rzeŸnicza nieparzyste od 1 do 35",50,50.0582181,19.9517986
50,"gêsia, kotlarska, masarska 14,16, rzeŸnicza parzyste od 2 do 20, semperitowców",51,50.0535508,19.9570915
51,"aleja daszyñskiego nieparzyste od 7 do 29, halicka 21, 22,23, ksiêdza blachnickiego, ksiêdza gurgacza, metalowców, miodowa 53, 55, 55 a, podgórska 28, siedleckiego, wiœlisko",52,50.0580601,19.9503513
52,"aleja 29 listopada nieparzyste od 71 do 93, celarowska nieparzyste, duchacka, fertnera, genera³a pr¹dzyñskiego nieparzyste, sadowa, wiœniowa",53,50.0838279,19.953255
53,"aleja 29 listopada nieparzyste od 41 do 69 i parzyste od 38 do 86 ( bez nr 70), genera³a pr¹dzyñskiego parzyste, klemensiewicza, wileñska, zau³ek wileñski",54,50.0807639,19.951128
54,"aleja 29 listopada 70, celarowska parzyste, czerwona, ¿mujdzka parzyste od 2 do 16 a i nieparzyste od 1 do 23, ¿ytnia",55,50.085743,19.953846
55,"b³êkitna, brogi nieparzyste, czerwonego pr¹dnika, gdañska, nadrzeczna, pogodna, prz¹dek, radomska, trêbacza, ¿u³owska",56,50.08727769999999,20.0473033
56,"aleja 29 listopada nieparzyste od 95 do 145 i parzyste od 88 do 154, bia³ych brzóz, chlebowa, cio³kowskiego, combrowa, dobrego pasterza parzyste od 2 do 88 i nieparzyste od 1 do 103, dominikanów, jasnorzewskiej, jezuitów, lublañska 11a,15, na barciach, nabielaka, nad strug¹ 7,17, ostroroga, pocieszka, powstañców 26, rezedowa, rokitniañska, rybianka, szklana, œwiêtego andrzeja boboli, woronicza",57,50.08667519999999,19.9555391
57,"³epkowskiego, majora nuszkiewicza",58,50.0904867,19.9631749
58,majora,59,50.0905438,19.9652406
59,"bitschana, boznañskiej, dziedzica, kazimierza odnowiciela, olszecka, promienistych",60,50.0878885,19.9690156
60,"dobrego pasterza parzyste od 102 do 110, 112, 112 a, 114, 114 a, i nieparzyste od 105 do 123, ³uszczkiewicza, naczelna, sudolska",61,50.088293,19.968884
61,"liliowa, powstañców nieparzyste od 1 do 115 a i parzyste 14, 20, 22, 36, 38, 40, 42, 44, 46, 52,52a, strzelców 15 a, 15 b, 17 a",62,50.093991,19.9640025
62,"strzelców (bez 15 a, 15 b, 17 a), reduta 5,6",63,50.0929505,19.9752289
63,powstañców parzyste od 30 do 34 a,64,50.0938279,19.9682749
64,"aliny, balladyny,aleja gen.bora-komorowskiego bez 9a,15, 15a,b, brzechwy, dobrego pasterza parzyste od 118 do 122 i nieparzyste od 125, harnasiów, janosika, krzes³awicka (bez 2 a, 2 b), liryczna, nikifora, s³oneckiego",65,50.0905929,19.9820099
65,"antyczna, bachledy, kwartowa, marcho³ta, pana cogito, reduta 31, rozrywka, saba³y",66,50.0927464,19.978013
66,"dzielskiego, m³yñska boczna 3, 5, 7, 9, xx pijarów",67,50.0835999,19.9774788
67,"akacjowa (bez 10,12), cieœlewskiego parzyste, pszona, pilotów nieparzyste od 53 do 97 i parzyste od 20 a do 68, u³anów nieparzyste od 33 do 63 i parzyste od 52 do 80, wysoka",68,50.0837057,19.979548
68,"m³yñska boczna 4, m³yñska parzyste od 2 do 14, sadzawki",69,50.0829627,19.9734399
69,"brogi parzyste, dobra, jaœminowa, kanonierów, mieszka i, partyzantów, piêkna, pilotów 2, 4, ptasia, saperów, soko³owskiego, szwole¿erów",70,50.0810619,19.9620283
70,"bohaterów wietnamu, miechowity parzyste od 8 do 10 i 18, m³yñska 5, 7, 7 a, 9, 156, pilotów parzyste od 6 do 20, stanis³awa ze skalbmierza",71,50.0816094,19.9695547
71,"bosaków, czereœniowa, lublañska parzyste od 6 do 20 , malawskiego, miechowity od 1 do 6, olsztyñska, œrodkowa, turkusowa, wieniawskiego",72,50.08383310000001,19.9620809
72,"lublañska parzyste od 22 do 30, miechowity nieparzyste od 7 do 21, m³yñska 11",73,50.084449,19.965432
73,"bajana, cha³upnika, kajty, krzywoñ, majowa, meissnera 4, 6 i 20, nieznana, pilotów nieparzyste od 1 do 51, podmiejska, raciborskiego, rozmarynowa, startowa, swojska, widna, wiejska, ¿wirki i wigury",74,50.07893019999999,19.9742879
74,"fio³kowa, spadochroniarzy, ugorek parzyste od 2 do 4, u³anów nieparzyste od 17 do 31 i parzyste od 46 do 48, seniorów lotnictwa",75,50.0787646,19.9819142
75,ugorek parzyste od 6 do 20,76,50.0762163,19.9823732
76,"ugorek nieparzyste od 1 do 3, u³anów nieparzyste od 7 do 15 i parzyste od 16 do 42, w³odkowica nieparzyste od 1 do 7",77,50.0760971,19.9835339
77,"janickiego, ³¹kowa, meissnera nieparzyste 17, 21, 33, 35 i parzyste od 2 do 10 (bez 4, 6) i 14, niedu¿a, u³anów nieparzyste od 1 do 5, 5 a i parzyste od 2 do 14, w³odkowica parzyste od 2 do 8",78,50.07445,19.9805319
78,"œliczna, kantora",79,50.0735762,19.977258
79,"aleja jana paw³a ii parzyste od 2 do 60, 62,62a, 62 b, 64, 66, 68 i nieparzyste 11, 13,19a, czy¿yñska, ³adna, meissnera nieparzyste od 1 do 15 i parzyste od 34 do 48, mogilska nieparzyste od 101 do 121 a, b, c, d, e, f, g, h, i, j, k, 127 f, bez nr 109, parzyste od 104, ogrodnicza, ostatnia, szenwalda, szkó³kowa",80,50.0684811,20.0514564
80,"budrysów, dziewanny, margaretek, na polach, na wyrêbê, nawojowska, ojcowska, okrê¿na, pasternik parzyste, pejza¿owa, stawowa parzyste od nr 180 i nieparzyste od nr 189 , szarotki, zaborska,",81,50.1006227,19.8827921
81,"biskupa gawliny, che³moñskiego od 74, chmurna, dzielna, genera³a kiwerskiego, genera³a kukiela, genera³a olszyny-wilczyñskiego, genera³a pe³czyñskiego,ho¿a, jasnogórska, kaczmarczyka, kalenkiewicza, kasznicy, lazurowa, piaskowa, radzikowskiego eljasza parzyste od 150 (bez 166,168), 168a, s³otna, smêtna, sosnowiecka, stawowa, parzyste od 18 do 178 i nieparzyste od 55 do 181 , stelmachów od 34 do 442, œmia³a, tumanowicza, waleczna, zaorana",82,50.0908206,19.9061398
82,"w³adys³awa ³okietka 39 i 60, pod fortem, rac³awicka 57, 92, stachiewicza nieparzyste od 7 do 33, styki, wybickiego 7, 17 i od 30 do 52",83,50.082861,19.9258889
83,"berwiñskiego, mehoffera parzyste od 2 do 6 i nieparzyste od 3 do 11, modrzejewskiej parzyste od 2 do 14, 14 a i nieparzyste od 1 do 17, 21, stachiewicza parzyste od 26 do 52 i nieparzyste od 35 do 41, wielkotyrnowska parzyste od 2 do 24 (bez 16 i 16 a), 28 i nieparzyste od 3 do 37",84,50.0873101,19.9160927
84,"che³moñskiego od 1 do 41, che³moñskiego - deptak, ehrenberga, elsnera parzyste od 20 do 24, murarska, na³kowskiego, niska, radzikowskiego eljasza parzyste od 10 do 30, stachiewicza parzyste od 6 do 24, stanis³awskiego, wodzinowskiego, wysockiego",85,50.0913391,19.9036337
85,"elsnera nieparzyste od 7 do 21, gdyñska, makowskiego 20, 22, mehoffera od 12, ró¿yckiego, weissa parzyste od 14 do 20",86,50.08588959999999,19.9104519
86,"elsnera 1, 3, parzyste od 4 do 18, gnieŸnieñska parzyste od 2 do 18 i nieparzyste 1a, od 3 do 33, jaremy nieparzyste od 1 do 19a, lentza, radzikowskiego eljasza 3, 7, 15 i parzyste od 34 do 62, weissa 8, zygmuntowska od 2 do 23 (bez 22)",87,50.0833585,19.909422
87,"podkowiñskiego, radzikowskiego eljasza parzyste od 68 do 144 i nieparzyste od 17 do 95",88,50.0852667,19.8950113
88,"gnieŸnieñska parzyste od 18 b do 26, jaremy 12, 14, 14a, 14b, pu¿aka 27, 29, zygmuntowska parzyste od 22 i nieparzyste od 25",89,50.0860859,19.906748
89,"pu¿aka parzyste od 2 do 8 i nieparzyste od 3 do 25, radzikowskiego 66",90,50.0841278,19.9049585
90,"brzoskwiniowa, czerwieñskiego, conrada, fiszera, jaremy nieparzyste od 21 do 25 i 41b, s³owicza, wilcza",91,50.06755949999999,19.9280839
91,palacha,92,50.0893374,19.9173778
92,"makowskiego 1, 5, 8, 18, modrzejewskiej parzyste od 16, stachiewicza 45, 47, 58, 60, wielkotyrnowska 16, 16a, 39",93,50.0874091,19.9205216
93,"ksiêdza siemaszki parzyste od 4 do 34 i nieparzyste od 13 a do 33, pielêgniarek 5, 6, 7",94,50.0827929,19.9397982
94,"bratys³awska, doktora twardego, lekarska, pr¹dnicka nieparzyste od 27 do 89 (bez 35/37) i parzyste od 28 do 76, ksiêdza siemaszki nieparzyste od 37 do 43 a i parzyste od 38 do 64",95,50.0849288,19.9355798
95,"bia³a, genera³a fieldorfa-nila, korczaka, pr¹dnicka nieparzyste od 95 do 125 i parzyste od 78 do 80a (bez 80), zdrowa",96,50.0892612,19.9398802
96,"bobrzeckiej, g³êboka, frycza-modrzewskiego, jaracza 3,4, 6, 7, 9,10, 11,12,14, 16, 20, 24,28,30,34, konecznego, reja, solskiego, ¿abiniec, ¿mujdzka parzyste od 18 do 32 i nieparzyste od 25 do 45",97,50.0872136,19.9428257
97,"bociana, jab³onna, krêta, nad strug¹ 9, polna, siewna parzyste od 2 do 20 i nieparzyste od 21 do 23b, zawodzie",98,50.0949915,19.9550557
98,"herwina-pi¹tka, górnickiego parzyste od 8 do 26 i nieparzyste od 9 do 35, lechonia, pachoñskiego 28, 30, 32, 32a, 32b, 34, 69, rokosza",99,50.0964973,19.9394162
99,mackiewicza od 13,100,50.0925381,19.9446876
100,"ba³tycka, bursztynowa, gra¿yny, imbramowska, jazowa, ko³aczy, legnicka, litawora, mackiewicza od 1 do 12, narutowicza, papiernicza, syreny, szafirowa, turystyczna, zgody, ¿ywa",101,50.0916314,19.9449516
101,"bia³opr¹dnicka, bularnia, górnickiego 2, 3, 6, kluzeka (bez 6), nad sudo³em od 32 do 75 i 98, pleszowska, proszowicka, szopkarzy",102,50.0947649,19.9358
102,"glogera, jarzynowa, jasna, kosmonautów, malinowa, matki tajber, m¹czna, pasteura, piaszczysta, pigonia, ryba³towska, zaremby, zieliñska, zimorowicza, ¿wirowa",103,50.1015535,19.9280644
