,year,nr_obwodu,majchrowski,po,pis,gibala,lesniak,berkowicz,inni,max_voters,votes,majchrowski_proc,po_proc,pis_proc,gibala_proc,lesniak_proc,berkowicz_proc,inni_proc
77,2006,78,263,110,172,0,0,0,30,1340,575,0.4573913043478261,0.19130434782608696,0.2991304347826087,0.0,0.0,0.0,0.05217391304347826
78,2006,79,336,179,125,0,0,0,32,1490,672,0.5,0.2663690476190476,0.18601190476190477,0.0,0.0,0.0,0.047619047619047616
79,2006,80,195,83,86,0,0,0,34,869,398,0.4899497487437186,0.20854271356783918,0.21608040201005024,0.0,0.0,0.0,0.08542713567839195
80,2006,81,226,173,163,0,0,0,52,1421,614,0.36807817589576547,0.28175895765472314,0.26547231270358307,0.0,0.0,0.0,0.08469055374592833
81,2006,82,230,140,53,0,0,0,45,932,468,0.49145299145299143,0.29914529914529914,0.11324786324786325,0.0,0.0,0.0,0.09615384615384616
82,2006,83,375,201,212,0,0,0,73,2250,861,0.4355400696864111,0.23344947735191637,0.2462253193960511,0.0,0.0,0.0,0.08478513356562137
83,2006,84,241,123,156,0,0,0,32,1274,552,0.4365942028985507,0.22282608695652173,0.2826086956521739,0.0,0.0,0.0,0.057971014492753624
84,2006,85,213,125,104,0,0,0,32,1247,474,0.44936708860759494,0.26371308016877637,0.21940928270042195,0.0,0.0,0.0,0.06751054852320675
85,2006,86,326,110,166,0,0,0,47,1734,649,0.50231124807396,0.1694915254237288,0.25577812018489987,0.0,0.0,0.0,0.0724191063174114
86,2006,87,272,122,150,0,0,0,78,1845,622,0.43729903536977494,0.19614147909967847,0.24115755627009647,0.0,0.0,0.0,0.12540192926045016
87,2006,88,338,254,130,0,0,0,58,1778,780,0.43333333333333335,0.32564102564102565,0.16666666666666666,0.0,0.0,0.0,0.07435897435897436
88,2006,89,191,93,149,0,0,0,50,1205,483,0.39544513457556935,0.19254658385093168,0.3084886128364389,0.0,0.0,0.0,0.10351966873706005
89,2006,90,158,58,71,0,0,0,30,1040,317,0.49842271293375395,0.1829652996845426,0.22397476340694006,0.0,0.0,0.0,0.0946372239747634
90,2006,91,185,57,96,0,0,0,29,1014,367,0.5040871934604905,0.1553133514986376,0.2615803814713896,0.0,0.0,0.0,0.07901907356948229
91,2006,92,183,79,115,0,0,0,36,936,413,0.4430992736077482,0.19128329297820823,0.2784503631961259,0.0,0.0,0.0,0.08716707021791767
92,2006,93,218,66,120,0,0,0,26,1220,430,0.5069767441860465,0.15348837209302327,0.27906976744186046,0.0,0.0,0.0,0.06046511627906977
93,2006,94,184,79,119,0,0,0,47,1179,429,0.4289044289044289,0.18414918414918416,0.2773892773892774,0.0,0.0,0.0,0.10955710955710955
94,2006,95,279,147,143,0,0,0,55,1763,624,0.44711538461538464,0.23557692307692307,0.22916666666666666,0.0,0.0,0.0,0.08814102564102565
95,2006,96,272,163,166,0,0,0,69,1515,670,0.4059701492537313,0.24328358208955222,0.24776119402985075,0.0,0.0,0.0,0.10298507462686567
96,2006,97,435,383,183,0,0,0,77,2078,1078,0.4035250463821892,0.35528756957328383,0.16975881261595546,0.0,0.0,0.0,0.07142857142857142
97,2006,98,467,260,216,0,0,0,62,2084,1005,0.4646766169154229,0.25870646766169153,0.21492537313432836,0.0,0.0,0.0,0.061691542288557215
98,2006,99,164,92,98,0,0,0,44,837,398,0.4120603015075377,0.23115577889447236,0.24623115577889448,0.0,0.0,0.0,0.11055276381909548
99,2006,100,363,146,131,0,0,0,43,1488,683,0.5314787701317716,0.21376281112737922,0.191800878477306,0.0,0.0,0.0,0.0629575402635432
100,2006,101,420,283,232,0,0,0,86,2190,1021,0.41136141038197843,0.277179236043095,0.22722820763956905,0.0,0.0,0.0,0.0842311459353575
101,2006,102,284,222,177,0,0,0,79,1643,762,0.37270341207349084,0.29133858267716534,0.23228346456692914,0.0,0.0,0.0,0.1036745406824147
102,2006,103,175,109,149,0,0,0,41,1043,474,0.3691983122362869,0.229957805907173,0.3143459915611814,0.0,0.0,0.0,0.08649789029535865
